contigName	contigLen	totalAvgDepth	sample_small.sorted	sample_small.sorted-var
NODE_67_length_23791_cov_5.939712	23791	9.97885	9.97885	15.2577
NODE_68_length_23536_cov_10.894894	23536	18.0292	18.0292	37.4106
NODE_69_length_23397_cov_12.355754	23397	20.4239	20.4239	35.9351
NODE_70_length_23353_cov_18.149326	23353	28.4555	28.4555	54.1468
NODE_71_length_23329_cov_7.252471	23329	11.8398	11.8398	22.8233
NODE_72_length_23314_cov_5.955114	23314	10.1899	10.1899	13.8784
NODE_73_length_23244_cov_5.503558	23244	9.41786	9.41786	13.1021
NODE_74_length_23049_cov_6.025702	23049	10.0345	10.0345	13.9016
NODE_75_length_22712_cov_5.915081	22712	10.0824	10.0824	15.7774
NODE_76_length_22408_cov_4.877153	22408	8.23681	8.23681	10.142
NODE_77_length_22333_cov_6.694901	22333	11.1478	11.1478	16.8551
NODE_78_length_22305_cov_6.447640	22305	10.9513	10.9513	18.8309
NODE_79_length_22167_cov_5.871699	22167	9.82577	9.82577	16.2437
NODE_80_length_22051_cov_9.572786	22051	15.8901	15.8901	34.3849
NODE_81_length_21885_cov_5.022721	21885	8.40018	8.40018	10.4146
NODE_82_length_21812_cov_5.783058	21812	9.97147	9.97147	15.4968
NODE_83_length_21696_cov_5.326926	21696	8.86053	8.86053	14.1478
NODE_84_length_21610_cov_6.053259	21610	10.1586	10.1586	17.4013
NODE_85_length_21568_cov_5.755962	21568	9.77771	9.77771	11.468
NODE_86_length_21349_cov_5.495022	21349	9.25605	9.25605	13.2219
NODE_87_length_21278_cov_6.809688	21278	11.2626	11.2626	16.2015
NODE_88_length_21261_cov_5.016552	21261	8.51551	8.51551	12.3639
NODE_89_length_21077_cov_6.683522	21077	11.1715	11.1715	16.5686
NODE_90_length_20935_cov_15.042002	20935	23.3031	23.3031	52.5585
NODE_91_length_20738_cov_7.864236	20738	12.9731	12.9731	20.1816
NODE_92_length_20338_cov_6.995513	20338	11.6983	11.6983	18.044
NODE_93_length_20285_cov_12.951557	20285	20.4299	20.4299	36.36
NODE_94_length_19953_cov_6.606443	19953	11.1604	11.1604	17.2616
NODE_95_length_19940_cov_6.670254	19940	11.2127	11.2127	15.0436
NODE_96_length_19806_cov_9.953066	19806	12.8639	12.8639	20.1558
NODE_97_length_19589_cov_6.806542	19589	11.4872	11.4872	19.9203
NODE_98_length_19553_cov_11.693148	19553	19.2953	19.2953	39.7379
NODE_99_length_19404_cov_6.716523	19404	11.3208	11.3208	20.6672
NODE_100_length_19285_cov_17.003432	19285	22.7242	22.7242	66.8166
NODE_101_length_19180_cov_12.918954	19180	21.5104	21.5104	40.8266
NODE_102_length_18998_cov_5.616164	18998	9.61476	9.61476	10.5659
NODE_103_length_18901_cov_13.599862	18901	22.3972	22.3972	46.5336
NODE_104_length_18711_cov_5.002787	18711	8.37897	8.37897	15.4359
NODE_105_length_18633_cov_8.997685	18633	15.8922	15.8922	128.638
NODE_106_length_17959_cov_10.532563	17959	17.4962	17.4962	26.5903
NODE_107_length_17459_cov_6.543438	17459	9.04327	9.04327	13.1246
NODE_108_length_17404_cov_6.160067	17404	10.4614	10.4614	13.0158
NODE_109_length_17328_cov_28.024026	17328	46.3745	46.3745	6179.43
NODE_110_length_17317_cov_13.886919	17317	22.8491	22.8491	40.2906
NODE_111_length_17110_cov_11.586397	17110	19.1481	19.1481	46.0045
NODE_112_length_17098_cov_14.032447	17098	23.2068	23.2068	44.3107
NODE_113_length_17097_cov_5.801549	17097	9.66702	9.66702	18.5152
NODE_114_length_17052_cov_7.968053	17052	13.2503	13.2503	21.8017
NODE_115_length_17004_cov_7.101953	17004	11.9293	11.9293	21.3928
NODE_116_length_16591_cov_8.809567	16591	12.6104	12.6104	28.5232
NODE_117_length_16515_cov_12.524666	16515	20.7821	20.7821	31.0283
NODE_118_length_16475_cov_6.402619	16475	10.7501	10.7501	16.3869
NODE_119_length_16462_cov_7.221369	16462	11.9534	11.9534	22.7263
NODE_120_length_16458_cov_12.351094	16458	14.3037	14.3037	590.553
NODE_121_length_16274_cov_7.289599	16274	12.1586	12.1586	30.6377
NODE_122_length_16181_cov_13.221258	16181	21.6768	21.6768	41.5701
NODE_123_length_16180_cov_6.223566	16180	10.6004	10.6004	13.4677
NODE_124_length_16141_cov_7.175556	16141	12.032	12.032	21.2325
NODE_125_length_16017_cov_7.300401	16017	12.182	12.182	26.3634
NODE_126_length_15979_cov_12.043394	15979	19.8126	19.8126	33.5059
NODE_127_length_15889_cov_5.581975	15889	9.56979	9.56979	13.7324
NODE_128_length_15816_cov_13.236153	15816	19.4771	19.4771	31.5439
NODE_129_length_15724_cov_7.157700	15724	11.9608	11.9608	24.1482
NODE_130_length_15724_cov_6.441573	15724	10.7977	10.7977	17.8019
NODE_131_length_15683_cov_11.315139	15683	18.6752	18.6752	47.5139
NODE_132_length_15647_cov_14.572217	15647	24.0689	24.0689	39.5502
NODE_133_length_15578_cov_5.550731	15578	9.21584	9.21584	11.9006
NODE_134_length_15256_cov_15.510559	15256	25.5994	25.5994	46.3126
NODE_135_length_15249_cov_13.038897	15249	20.8555	20.8555	327.782
NODE_136_length_15169_cov_6.451039	15169	10.6184	10.6184	15.1439
NODE_137_length_14767_cov_6.248505	14767	10.4097	10.4097	12.0352
NODE_138_length_14584_cov_4.926836	14584	8.29174	8.29174	10.7043
NODE_139_length_14513_cov_6.157698	14513	10.349	10.349	17.082
NODE_140_length_14391_cov_17.305664	14391	28.7564	28.7564	55.2142
NODE_141_length_14357_cov_6.238428	14357	10.4067	10.4067	13.1809
NODE_142_length_14212_cov_13.545243	14212	19.4168	19.4168	1106.31
NODE_143_length_14211_cov_7.742159	14211	12.8855	12.8855	23.75
NODE_144_length_14140_cov_6.911395	14140	11.3316	11.3316	15.8629
NODE_145_length_14023_cov_12.558204	14023	19.9196	19.9196	35.7845
NODE_146_length_13888_cov_11.453481	13888	18.2704	18.2704	31.2077
NODE_147_length_13844_cov_5.879542	13844	9.83482	9.83482	16.3825
NODE_148_length_13830_cov_13.802396	13830	23.0587	23.0587	38.111
NODE_149_length_13580_cov_6.691017	13580	10.8961	10.8961	19.0602
NODE_150_length_13462_cov_16.921384	13462	26.9443	26.9443	50.9225
NODE_151_length_13387_cov_15.385614	13387	24.5575	24.5575	214.087
NODE_152_length_13275_cov_16.043570	13275	26.1022	26.1022	52.3293
NODE_153_length_13194_cov_6.656290	13194	11.1958	11.1958	19.0923
NODE_154_length_13043_cov_6.294503	13043	10.2104	10.2104	20.305
NODE_155_length_13013_cov_13.420204	13013	22.1378	22.1378	53.8475
NODE_156_length_12869_cov_6.350944	12869	10.7863	10.7863	12.2769
NODE_157_length_12844_cov_6.191180	12844	10.3406	10.3406	18.4733
NODE_158_length_12714_cov_16.517181	12714	27.4647	27.4647	57.5408
NODE_159_length_12705_cov_5.244822	12705	8.79586	8.79586	14.4589
NODE_160_length_12650_cov_6.099246	12650	10.1768	10.1768	13.0992
NODE_161_length_12592_cov_6.554838	12592	11.0334	11.0334	14.6547
NODE_162_length_12568_cov_11.170303	12568	15.1577	15.1577	42.2956
NODE_163_length_12546_cov_8.350973	12546	11.3036	11.3036	17.4878
NODE_164_length_12529_cov_18.319625	12529	27.2525	27.2525	82.5219
NODE_165_length_12494_cov_5.819439	12494	9.78945	9.78945	14.2486
NODE_166_length_12481_cov_12.852809	12481	20.9742	20.9742	34.868
NODE_167_length_12465_cov_6.920306	12465	11.7734	11.7734	17.4351
NODE_168_length_12429_cov_15.272749	12429	25.1609	25.1609	31.3702
NODE_169_length_12379_cov_5.903765	12379	10.049	10.049	18.551
NODE_170_length_12344_cov_6.080560	12344	10.0717	10.0717	16.0695
NODE_171_length_12299_cov_14.367527	12299	23.8419	23.8419	42.4647
NODE_172_length_12079_cov_5.400116	12079	9.31344	9.31344	15.5109
NODE_173_length_12034_cov_7.307956	12034	12.0521	12.0521	14.8822
NODE_174_length_11938_cov_4.532021	11938	7.83873	7.83873	9.26178
NODE_175_length_11876_cov_9.605110	11876	14.2515	14.2515	91.8766
NODE_176_length_11871_cov_6.900643	11871	11.5039	11.5039	16.8055
NODE_177_length_11862_cov_10.980689	11862	18.2533	18.2533	30.0919
NODE_178_length_11579_cov_5.260934	11579	8.94566	8.94566	11.8644
NODE_179_length_11303_cov_6.185011	11303	10.4008	10.4008	12.3609
NODE_180_length_11232_cov_8.241210	11232	13.2996	13.2996	20.044
NODE_181_length_11182_cov_9.259998	11182	12.4453	12.4453	17.9266
NODE_182_length_11170_cov_5.521457	11170	9.47368	9.47368	18.535
NODE_183_length_11162_cov_8.692086	11162	13.9545	13.9545	33.447
NODE_184_length_11106_cov_12.199167	11106	20.0411	20.0411	46.7282
NODE_185_length_11104_cov_8.613811	11104	12.0823	12.0823	28.2445
NODE_186_length_11074_cov_4.679372	11074	7.89775	7.89775	9.66102
NODE_187_length_11030_cov_6.835718	11030	11.2176	11.2176	18.1594
NODE_188_length_10971_cov_4.896207	10971	8.63654	8.63654	12.3074
NODE_189_length_10910_cov_12.757623	10910	21.0103	21.0103	30.83
NODE_190_length_10906_cov_17.542807	10906	29.0255	29.0255	59.9721
NODE_191_length_10863_cov_14.158864	10863	23.4887	23.4887	33.5333
NODE_192_length_10853_cov_7.358492	10853	12.4084	12.4084	18.0979
NODE_193_length_10846_cov_11.593087	10846	19.0171	19.0171	33.0923
NODE_194_length_10837_cov_7.924968	10837	13.0657	13.0657	21.9106
NODE_195_length_10739_cov_15.442812	10739	25.4177	25.4177	68.7797
NODE_196_length_10684_cov_10.942045	10684	18.0508	18.0508	30.9538
NODE_197_length_10642_cov_12.572778	10642	20.6367	20.6367	26.9313
NODE_198_length_10634_cov_13.832687	10634	22.2211	22.2211	43.6226
NODE_199_length_10621_cov_6.835510	10621	11.39	11.39	19.8679
NODE_200_length_10550_cov_6.986089	10550	11.6671	11.6671	16.2569
NODE_201_length_10461_cov_15.527772	10461	25.6046	25.6046	65.1151
NODE_202_length_10368_cov_14.337923	10368	21.585	21.585	31.6947
NODE_203_length_10350_cov_6.298883	10350	10.6525	10.6525	21.7352
NODE_204_length_10295_cov_4.777344	10295	7.93376	7.93376	10.3836
NODE_205_length_10263_cov_7.426920	10263	12.1687	12.1687	14.8222
NODE_206_length_10199_cov_10.817133	10199	17.791	17.791	22.2695
NODE_207_length_10173_cov_5.954438	10173	9.92358	9.92358	15.2505
NODE_208_length_10172_cov_18.377483	10172	30.4914	30.4914	94.0843
NODE_209_length_9981_cov_5.796091	9981	9.73289	9.73289	14.029
NODE_210_length_9834_cov_5.385418	9834	9.04853	9.04853	11.8319
NODE_211_length_9734_cov_5.940386	9734	9.88303	9.88303	12.2348
NODE_212_length_9708_cov_5.687040	9708	9.78311	9.78311	12.3088
NODE_213_length_9652_cov_15.434407	9652	25.4123	25.4123	47.4291
NODE_214_length_9639_cov_43.885017	9639	68.4898	68.4898	183.684
NODE_215_length_9506_cov_6.066977	9506	10.0882	10.0882	15.2116
NODE_216_length_9439_cov_15.914003	9439	26.2671	26.2671	48.362
NODE_217_length_9353_cov_8.527963	9353	14.3799	14.3799	113.087
NODE_218_length_9301_cov_7.029634	9301	11.8214	11.8214	24.5059
NODE_219_length_9277_cov_15.486662	9277	25.6143	25.6143	40.2567
NODE_220_length_9270_cov_5.750515	9270	9.66228	9.66228	11.0257
NODE_221_length_9266_cov_13.222886	9266	18.0714	18.0714	26.1377
NODE_222_length_9230_cov_13.714986	9230	22.4776	22.4776	45.3575
NODE_223_length_9027_cov_20.364021	9027	26.1366	26.1366	426.709
NODE_224_length_8990_cov_5.083156	8990	8.52602	8.52602	13.6617
NODE_225_length_8989_cov_6.412917	8989	10.5912	10.5912	16.1814
NODE_226_length_8919_cov_7.569720	8919	12.6464	12.6464	18.7475
NODE_227_length_8881_cov_39.702697	8881	64.3246	64.3246	177.216
NODE_228_length_8851_cov_6.723283	8851	11.2985	11.2985	14.5011
NODE_229_length_8806_cov_5.304651	8806	8.94928	8.94928	12.0231
NODE_230_length_8731_cov_9.531351	8731	11.8843	11.8843	20.6977
NODE_231_length_8726_cov_15.998385	8726	26.3538	26.3538	43.1097
NODE_232_length_8628_cov_16.106847	8628	26.7234	26.7234	47.9242
NODE_233_length_8601_cov_5.459396	8601	9.47994	9.47994	14.7972
NODE_234_length_8569_cov_13.593023	8569	21.2371	21.2371	85.5423
NODE_235_length_8532_cov_12.716999	8532	20.946	20.946	41.3161
NODE_236_length_8527_cov_14.399433	8527	23.7862	23.7862	65.5047
NODE_237_length_8503_cov_50.778054	8503	80.0692	80.0692	395.512
NODE_238_length_8490_cov_4.863782	8490	8.30911	8.30911	11.796
NODE_239_length_8487_cov_8.215607	8487	13.3153	13.3153	24.1091
NODE_240_length_8460_cov_5.953837	8460	10.1762	10.1762	12.6827
NODE_241_length_8451_cov_11.732968	8451	19.4019	19.4019	28.8817
NODE_242_length_8437_cov_122.102839	8437	104.453	104.453	1151
NODE_243_length_8394_cov_6.160811	8394	10.5437	10.5437	16.2598
NODE_244_length_8389_cov_16.464363	8389	27.2687	27.2687	44.6192
NODE_245_length_8385_cov_17.791717	8385	18.2732	18.2732	2623.66
NODE_246_length_8274_cov_5.737559	8274	9.60143	9.60143	12.5784
NODE_247_length_8246_cov_11.655842	8246	18.4376	18.4376	60.511
NODE_248_length_8222_cov_5.367210	8222	9.09936	9.09936	11.5388
NODE_249_length_8164_cov_6.649279	8164	11.0465	11.0465	26.2203
NODE_250_length_8125_cov_5.679554	8125	9.6632	9.6632	13.2567
NODE_251_length_8088_cov_12.879373	8088	21.1437	21.1437	20.5156
NODE_252_length_8074_cov_4.914952	8074	8.10676	8.10676	16.3965
NODE_253_length_7946_cov_9.709669	7946	16.054	16.054	25.7902
NODE_254_length_7821_cov_6.205125	7821	10.1865	10.1865	12.6258
NODE_255_length_7709_cov_6.243010	7709	10.6275	10.6275	16.7759
NODE_256_length_7646_cov_13.767620	7646	22.7723	22.7723	34.5581
NODE_257_length_7625_cov_11.211493	7625	18.1703	18.1703	28.1106
NODE_258_length_7614_cov_10.708427	7614	17.9152	17.9152	28.0336
NODE_259_length_7564_cov_10.977760	7564	18.1952	18.1952	31.8262
NODE_260_length_7551_cov_8.098586	7551	12.614	12.614	25.0357
NODE_261_length_7537_cov_6.165731	7537	10.4781	10.4781	11.7916
NODE_262_length_7516_cov_14.763705	7516	17.0775	17.0775	27.8406
NODE_263_length_7507_cov_16.884058	7507	27.4714	27.4714	790.119
NODE_264_length_7461_cov_5.300702	7461	8.86021	8.86021	15.0899
NODE_265_length_7445_cov_5.277267	7445	8.82838	8.82838	11.066
NODE_266_length_7390_cov_5.899250	7390	10.1421	10.1421	11.773
NODE_267_length_7389_cov_4.685029	7389	7.57895	7.57895	13.9418
NODE_268_length_7386_cov_5.025372	7386	8.4327	8.4327	11.9019
NODE_269_length_7304_cov_61.782867	7304	97.7973	97.7973	203.471
NODE_270_length_7298_cov_5.625017	7298	9.5624	9.5624	12.4238
NODE_271_length_7272_cov_8.035749	7272	13.4895	13.4895	23.7884
NODE_272_length_7237_cov_5.914369	7237	10.0196	10.0196	13.6392
NODE_273_length_7211_cov_22.126048	7211	27.2137	27.2137	166.957
NODE_274_length_7153_cov_5.905325	7153	9.78152	9.78152	10.5798
NODE_275_length_7140_cov_5.389132	7140	9.0432	9.0432	21.3247
NODE_276_length_7124_cov_4.905786	7124	8.0152	8.0152	10.8897
NODE_277_length_7119_cov_7.706257	7119	12.7169	12.7169	23.1768
NODE_278_length_7116_cov_5.605580	7116	9.28409	9.28409	13.1791
NODE_279_length_7107_cov_10.320902	7107	14.8821	14.8821	27.2854
NODE_280_length_7073_cov_14.182816	7073	21.0253	21.0253	54.9651
NODE_281_length_7058_cov_7.601171	7058	12.8833	12.8833	16.8888
NODE_282_length_6973_cov_25.232726	6973	24.1612	24.1612	125.749
NODE_283_length_6964_cov_17.696917	6964	24.4426	24.4426	89.4691
NODE_284_length_6948_cov_5.285652	6948	9.0609	9.0609	15.6899
NODE_285_length_6904_cov_14.784786	6904	24.6712	24.6712	44.0999
NODE_286_length_6840_cov_5.989683	6840	9.96786	9.96786	19.85
NODE_287_length_6827_cov_11.336385	6827	18.9239	18.9239	27.0179
NODE_288_length_6805_cov_7.158667	6805	11.9449	11.9449	12.8592
NODE_289_length_6772_cov_13.234033	6772	21.942	21.942	47.9361
NODE_290_length_6764_cov_11.899538	6764	19.6202	19.6202	27.073
NODE_291_length_6759_cov_11.191527	6759	18.4349	18.4349	37.5805
NODE_292_length_6731_cov_9.269922	6731	15.1524	15.1524	34.4502
NODE_293_length_6685_cov_7.322624	6685	12.2283	12.2283	14.6562
NODE_294_length_6684_cov_13.421783	6684	11.4008	11.4008	24.4213
NODE_295_length_6621_cov_7.280384	6621	10.7911	10.7911	94.6493
NODE_296_length_6617_cov_11.497562	6617	18.9601	18.9601	20.4098
NODE_297_length_6591_cov_14.029223	6591	18.4153	18.4153	53.2583
NODE_298_length_6579_cov_16.736818	6579	27.7035	27.7035	50.0251
NODE_299_length_6521_cov_15.561707	6521	25.7464	25.7464	36.5205
NODE_300_length_6519_cov_6.661355	6519	10.8755	10.8755	22.2465
NODE_301_length_6504_cov_5.872073	6504	8.91297	8.91297	9.13336
NODE_302_length_6482_cov_14.623619	6482	17.573	17.573	24.547
NODE_303_length_6472_cov_7.230637	6472	11.9753	11.9753	19.7919
NODE_304_length_6427_cov_4.513340	6427	7.64712	7.64712	13.5571
NODE_305_length_6421_cov_4.506283	6421	7.60628	7.60628	9.56873
NODE_306_length_6420_cov_7.199843	6420	12.2426	12.2426	24.9042
NODE_307_length_6393_cov_11.831177	6393	18.567	18.567	66.3726
NODE_308_length_6332_cov_4.607615	6332	7.80524	7.80524	10.252
NODE_309_length_6294_cov_15.609873	6294	25.8307	25.8307	51.6354
NODE_310_length_6271_cov_5.139640	6271	8.85754	8.85754	8.2244
NODE_311_length_6262_cov_10.478492	6262	11.5596	11.5596	18.9957
NODE_312_length_6251_cov_17.688993	6251	29.2309	29.2309	57.1674
NODE_313_length_6239_cov_9.024903	6239	14.8363	14.8363	16.7891
NODE_314_length_6229_cov_6.554908	6229	10.9117	10.9117	16.1939
NODE_315_length_6218_cov_5.467629	6218	9.05554	9.05554	11.1574
NODE_316_length_6212_cov_11.733637	6212	19.3124	19.3124	35.4087
NODE_317_length_6206_cov_15.789790	6206	26.068	26.068	51.4651
NODE_318_length_6180_cov_6.588082	6180	11.4405	11.4405	17.2652
NODE_319_length_6171_cov_11.676913	6171	18.627	18.627	36.7707
NODE_320_length_6135_cov_13.850164	6135	22.4723	22.4723	58.9162
NODE_321_length_6075_cov_4.967276	6075	8.26498	8.26498	8.33838
NODE_322_length_6057_cov_11.986338	6057	16.4134	16.4134	43.7981
NODE_323_length_6021_cov_44.108280	6021	37.1874	37.1874	2089.24
NODE_324_length_6021_cov_22.092021	6021	35.3458	35.3458	285.937
NODE_325_length_6014_cov_12.305420	6014	19.9949	19.9949	29.2601
NODE_326_length_5978_cov_6.284315	5978	10.7138	10.7138	16.1145
NODE_327_length_5946_cov_5.149550	5946	8.6294	8.6294	12.5956
NODE_328_length_5887_cov_21.525206	5887	28.3836	28.3836	57.602
NODE_329_length_5884_cov_15.671985	5884	26.0722	26.0722	69.4077
NODE_330_length_5872_cov_5.790270	5872	9.75131	9.75131	12.349
NODE_331_length_5865_cov_7.787608	5865	13.2721	13.2721	16.4923
NODE_332_length_5844_cov_70.121437	5844	115.323	115.323	338.348
NODE_333_length_5830_cov_22.199134	5830	36.4961	36.4961	57.2009
NODE_334_length_5828_cov_5.381084	5828	8.97253	8.97253	17.3302
NODE_335_length_5826_cov_11.583781	5826	19.052	19.052	22.2129
NODE_336_length_5823_cov_28.469487	5823	27.7255	27.7255	820.549
NODE_337_length_5820_cov_10.774154	5820	17.4739	17.4739	35.8971
NODE_338_length_5815_cov_10.230556	5815	16.7933	16.7933	30.1754
NODE_339_length_5771_cov_20.284640	5771	32.3839	32.3839	191.235
NODE_340_length_5758_cov_8.612134	5758	14.582	14.582	28.4612
NODE_341_length_5751_cov_12.762465	5751	21.0498	21.0498	24.7546
NODE_342_length_5735_cov_14.632570	5735	19.5352	19.5352	31.4346
NODE_343_length_5684_cov_4.743827	5684	8.13227	8.13227	9.25702
NODE_344_length_5673_cov_12.745461	5673	20.8673	20.8673	33.8729
NODE_345_length_5658_cov_11.168660	5658	18.0276	18.0276	23.4196
NODE_346_length_5636_cov_11.686436	5636	19.5261	19.5261	34.501
NODE_347_length_5620_cov_7.571069	5620	12.4287	12.4287	21.8156
NODE_348_length_5582_cov_12.196852	5582	20.1451	20.1451	38.5407
NODE_349_length_5553_cov_7.810113	5553	12.8484	12.8484	27.0899
NODE_350_length_5512_cov_14.784863	5512	24.5703	24.5703	44.7593
NODE_351_length_5506_cov_5.287287	5506	9.01251	9.01251	12.8601
NODE_352_length_5480_cov_24.201659	5480	29.7814	29.7814	429.235
NODE_353_length_5406_cov_16.120538	5406	26.489	26.489	40.1864
NODE_354_length_5367_cov_51.701807	5367	84.563	84.563	198.299
NODE_355_length_5363_cov_15.107008	5363	25.193	25.193	40.4777
NODE_356_length_5346_cov_11.665092	5346	18.8782	18.8782	37.4431
NODE_357_length_5331_cov_6.009666	5331	10.2251	10.2251	11.9034
NODE_358_length_5308_cov_7.909766	5308	13.1716	13.1716	18.9236
NODE_359_length_5226_cov_11.127248	5226	16.1062	16.1062	20.5175
NODE_360_length_5225_cov_2.980077	5225	5.42739	5.42739	6.17227
NODE_361_length_5217_cov_14.741186	5217	24.2124	24.2124	60.2802
NODE_362_length_5212_cov_15.129727	5212	25.0152	25.0152	23.4118
NODE_363_length_5174_cov_9.159797	5174	13.2347	13.2347	17.9566
NODE_364_length_5168_cov_5.657735	5168	9.64368	9.64368	16.6027
NODE_365_length_5160_cov_16.787071	5160	26.6663	26.6663	41.3969
NODE_366_length_5141_cov_14.413685	5141	23.7832	23.7832	51.8555
NODE_367_length_5127_cov_8.406349	5127	13.7149	13.7149	33.5159
NODE_368_length_5100_cov_23.368880	5100	37.2079	37.2079	61.8257
NODE_369_length_5025_cov_14.104628	5025	23.5442	23.5442	36.0287
NODE_370_length_5009_cov_33.513928	5009	46.0673	46.0673	7242.33
NODE_371_length_5005_cov_14.981414	5005	24.8132	24.8132	98.784
NODE_372_length_4992_cov_12.422524	4992	19.2924	19.2924	46.849
NODE_373_length_4977_cov_7.066436	4977	11.4098	11.4098	14.7013
NODE_374_length_4955_cov_2.515714	4955	4.1642	4.1642	4.7743
NODE_375_length_4934_cov_14.903874	4934	18.945	18.945	30.2543
NODE_376_length_4922_cov_44.022807	4922	67.9332	67.9332	4911.68
NODE_377_length_4896_cov_5.074158	4896	8.78445	8.78445	11.097
NODE_378_length_4888_cov_11.574178	4888	18.7866	18.7866	28.1914
NODE_379_length_4863_cov_21.795341	4863	27.3804	27.3804	59.3596
